CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 00:00:00,2.0,2608.0,0.0,25.0,504104000.0,305180000.0,26.0,51.0,41.333333333333336,148894362.41946888,148581746.06624186,165370.330863695,165132.48131966998
2018-08-02 00:15:00,2.0,2541.0,0.0,23.0,507164000.0,302108000.0,26.0,51.0,41.0,141791541.75596365,140950530.71946594,157987.05941552366,157132.23320915774
2018-08-02 00:30:00,0.0,2474.0,1.0,22.0,507180000.0,302092000.0,26.0,51.0,41.166666666666664,140262431.8043409,139713840.46160924,153667.76013758435,152887.70869279173
2018-08-02 00:45:00,1.0,2439.0,0.0,23.0,507184000.0,302088000.0,26.0,51.0,41.0,136029040.83868468,135486938.37323833,150123.03240400317,149388.97903644273
2018-08-02 01:00:00,0.0,2385.0,0.0,21.0,507176000.0,302092000.0,26.0,51.0,41.0,130187414.53572461,129557742.16531277,144122.67500277728,143333.45290871704
2018-08-02 01:15:00,1.0,2351.0,0.0,23.0,507188000.0,302076000.0,26.0,51.0,41.0,123925140.35520406,123348564.66586371,136276.98720901133,135403.9927524736
2018-08-02 01:30:00,0.0,2313.0,0.0,24.0,507188000.0,302084000.0,26.0,51.0,41.166666666666664,116612370.9526215,116309099.26495084,125332.35392823254,124859.71993385552
2018-08-02 01:45:00,0.0,2279.0,0.0,21.0,507176000.0,302096000.0,26.0,51.0,41.0,100927031.34001492,100498525.43082139,109121.61842413592,108592.95677482622
2018-08-02 02:00:00,2.0,2244.0,0.0,21.0,507152000.0,302120000.0,26.0,51.0,41.0,90797873.33824427,90345627.42629008,96843.31579041787,96292.15697675162
2018-08-02 02:15:00,2.0,2221.0,1.0,20.0,507172000.0,302100000.0,26.0,51.0,41.0,81760111.04907098,81552885.93962589,86787.3383026744,86516.85436180832
2018-08-02 02:30:00,0.0,2197.0,0.0,21.0,507140000.0,302132000.0,26.0,51.0,41.0,68129742.7221912,68008655.2694431,73435.43799824627,73157.12137160717
2018-08-02 02:45:00,1.0,2182.0,0.0,20.0,507144000.0,302124000.0,26.0,51.0,41.0,61079783.46564451,60892463.23150243,66488.56270627757,66174.62622264108
2018-08-02 03:00:00,1.0,2162.0,0.0,21.0,507136000.0,302136000.0,26.0,51.0,41.0,58091726.95887716,57925385.88547952,61903.842030256375,61524.24600133324
2018-08-02 03:15:00,1.0,2154.0,0.0,21.0,507148000.0,302120000.0,26.0,51.0,40.833333333333336,48465154.50378992,48358202.34503635,52836.302219051526,52613.98338741409
2018-08-02 03:30:00,3.0,2147.0,0.0,21.0,507152000.0,302116000.0,26.0,51.0,41.0,42172156.6017114,42072213.135344654,47534.253791169336,47286.593722930185
2018-08-02 03:45:00,0.0,2133.0,1.0,20.0,507152000.0,302120000.0,26.0,51.0,41.0,40218743.16599953,39966550.68938243,44443.82799676288,44043.226497468924
2018-08-02 04:00:00,0.0,2124.0,0.0,20.0,507160000.0,302112000.0,26.0,51.0,41.166666666666664,33364585.483186804,33129083.172907833,38144.69294554133,37739.21095748334
2018-08-02 07:00:00,1.0,2278.0,0.0,24.0,507172000.0,302100000.0,26.0,51.0,40.666666666666664,36345660.58392821,36209051.137170546,50973.751077221954,50618.192993555625
2018-08-02 07:15:00,0.0,2313.0,1.0,24.0,507208000.0,302064000.0,26.0,51.0,40.666666666666664,36522213.39910552,36379842.93468964,45050.606718995725,44653.44905975626
2018-08-02 07:30:00,1.0,2388.0,0.0,23.0,507188000.0,302084000.0,26.0,51.0,40.666666666666664,42960375.40774776,42754095.063206986,51078.83159943413,50631.19426008274
